"","id","outliersPro","estimated_rate_Before_Handling","estimated_rate_After_Q_b_F_C","estimated_rate_After_mean","estimated_rate_After_median","Before_P_value","Q_b_F_C_P_value","mean_P_value","median_P_value"
"22",348,0.0743099787685775,0.840678828422073,1.00613520884274,1.25441504974899,1.2840853264785,0,0.178,0.9735,0.8585
"23",354,0.102362204724409,0.427969288013295,0.513773818397889,0.704230198959184,0.735942732734235,0,0.138,0.3865,0.187
"24",363,0.0656,0.579393222938042,0.609130383468432,0.709475944343254,0.71841706245138,0.799,0.9995,1,1
"25",372,0.0361305361305361,0.462262242449604,0.480357098477908,0.538824133015315,0.54682823476167,0,0,0.0125,0.003
"26",376,0.0974264705882353,1.27929304128447,1.56242636433184,2.24862322269644,2.39362724662145,0,0,0,0
"27",387,0.033921302578019,0.56933569427411,0.591506044918716,0.653113311178217,0.662685030477703,0,0.0735,0.273,0.14
"28",390,0.0335195530726257,0.4150982159545,0.426130723453897,0.468845624550143,0.474610470565065,0.083,0.421,0.767,0.6645
"29",393,0.105960264900662,0.943399166529265,1.17224700673606,1.57140786063348,1.6140295644733,0,0.7835,1,1
"30",400,0.0496760259179266,0.249624132074322,0.270823552269371,0.322520678019591,0.330771021873465,0,0,5e-04,5e-04
"31",402,0.133378016085791,1.44226728791608,2.28471005719711,3.92597870940673,4.33381244230658,0,0,0,0
"32",417,0.0447619047619048,0.297309209624429,0.321086018515602,0.36896866053538,0.374356128924914,0,0.17,0.895,0.7635
"33",450,0.028169014084507,0.446600781152919,0.455484843776707,0.493735121872906,0.498537380677269,0.1005,0.476,0.848,0.7495
"34",460,0.0213523131672598,0.419986382476799,0.437361836615352,0.468611322948058,0.474036695194179,0,0.0105,0.026,0.0135
"35",468,0.0937853107344633,0.706699840042206,0.836511553773748,1.09819679996053,1.13546052302041,0,0.071,0.7305,0.278
"36",478,0.0893470790378007,0.249681824944241,0.286881849345721,0.386691169263187,0.404586391967951,0,0.0025,0.027,0.004
"37",506,0.0915157292659676,0.489085271157682,0.572290155792246,0.79180472803966,0.835133737404323,0,0,0,0
"38",512,0.0490956072351421,0.55654091920499,0.582744476742488,0.661913497058494,0.67308575165259,0.117,0.734,0.9365,0.8985
"39",520,0.0403225806451613,0.273793587098848,0.28890221322119,0.325287952026754,0.331949715394489,0,0.005,0.002,0.0015
"40",526,0.0906148867313916,0.205856241186011,0.223892580264268,0.291742271801857,0.302090191215519,0.007,0.21,0.742,0.4665
"41",533,0.0342342342342342,0.548893709820488,0.55766880689992,0.607750616313789,0.614200386673251,0.8275,0.983,0.9995,0.9975
